,age,job,marital,education,balance,duration,campaign,previous,poutcome,default_cat,housing_cat,loan_cat,deposit_cat,recent_pdays
47,52,pink-collar,married,secondary,3923,942,3,0,unknown,0,1,0,1,0.0001
48,53,technician,divorced,primary,1443,476,1,0,unknown,0,1,0,1,0.0001
49,48,blue-collar,divorced,primary,24,832,1,0,unknown,0,1,0,1,0.0001
50,41,blue-collar,single,primary,1618,1553,1,0,unknown,0,1,0,1,0.0001
51,39,white-collar,divorced,tertiary,517,1328,1,0,unknown,0,1,1,1,0.0001
52,59,other,married,secondary,1521,1125,2,0,unknown,0,1,1,1,0.0001
53,41,blue-collar,married,secondary,2823,858,1,0,unknown,0,1,0,1,0.0001
54,48,blue-collar,married,secondary,1405,629,2,0,unknown,0,1,0,1,0.0001
55,40,white-collar,married,secondary,1535,704,1,0,unknown,0,1,0,1,0.0001
56,48,blue-collar,married,secondary,1596,760,1,0,unknown,0,1,0,1,0.0001
57,60,other,married,primary,1542,930,1,0,unknown,0,1,0,1,0.0001
58,40,technician,single,unknown,3652,1028,2,0,unknown,0,1,0,1,0.0001
59,57,technician,married,tertiary,-1,850,2,0,unknown,0,0,0,1,0.0001
60,51,blue-collar,married,secondary,7180,927,1,0,unknown,0,1,0,1,0.0001
61,41,blue-collar,divorced,secondary,5291,1423,3,0,unknown,0,1,0,1,0.0001
62,41,blue-collar,married,secondary,1384,1162,4,0,unknown,0,1,0,1,0.0001
63,52,blue-collar,divorced,primary,-191,755,1,0,unknown,0,1,0,1,0.0001
64,59,blue-collar,married,primary,320,695,1,0,unknown,0,1,0,1,0.0001
65,44,blue-collar,married,unknown,146,483,1,0,unknown,0,1,0,1,0.0001
66,49,other,married,primary,341,520,2,0,unknown,0,1,1,1,0.0001
67,40,pink-collar,married,primary,-9,920,2,0,unknown,0,1,0,1,0.0001
68,41,white-collar,married,primary,-306,500,1,0,unknown,0,1,0,1,0.0001
69,44,technician,married,tertiary,4580,911,2,0,unknown,0,1,0,1,0.0001
70,60,pink-collar,single,primary,313,920,2,0,unknown,0,1,0,1,0.0001
71,29,white-collar,married,tertiary,10576,1224,2,0,unknown,0,0,0,1,0.0001
72,41,other,divorced,primary,-233,1156,2,0,unknown,0,1,0,1,0.0001
73,41,blue-collar,married,primary,2453,1052,1,0,unknown,0,1,0,1,0.0001
74,42,technician,single,secondary,1364,1867,6,0,unknown,0,1,0,1,0.0001
75,36,pink-collar,single,unknown,281,515,1,0,unknown,0,1,0,1,0.0001
76,39,technician,married,tertiary,94,813,1,0,unknown,0,1,1,1,0.0001
77,31,self-employed,single,tertiary,144,676,1,0,unknown,0,1,0,1,0.0001
78,26,blue-collar,married,secondary,246,1143,3,0,unknown,0,1,0,1,0.0001
79,31,blue-collar,married,secondary,92,688,1,0,unknown,0,1,0,1,0.0001
80,29,white-collar,single,secondary,163,803,1,0,unknown,0,1,1,1,0.0001
81,37,pink-collar,divorced,secondary,49,619,2,0,unknown,0,1,0,1,0.0001
82,33,blue-collar,single,secondary,-416,767,2,0,unknown,0,1,0,1,0.0001
83,24,technician,single,secondary,409,912,1,0,unknown,0,1,0,1,0.0001
84,50,white-collar,divorced,secondary,363,1340,1,0,unknown,0,1,0,1,0.0001
85,27,technician,single,tertiary,3706,897,1,0,unknown,0,1,0,1,0.0001
86,54,white-collar,single,tertiary,4393,1297,3,0,unknown,0,1,0,1,0.0001
87,30,technician,single,secondary,863,1193,5,0,unknown,0,1,0,1,0.0001
88,34,blue-collar,married,primary,695,1064,4,0,unknown,0,1,1,1,0.0001
89,37,white-collar,single,secondary,792,1187,4,0,unknown,0,1,0,1,0.0001
90,41,white-collar,single,secondary,1020,882,1,0,unknown,0,1,0,1,0.0001
91,47,blue-collar,married,secondary,863,943,2,0,unknown,0,1,0,1,0.0001
92,31,white-collar,married,secondary,97,607,1,0,unknown,0,1,0,1,0.0001
93,31,blue-collar,married,secondary,754,1022,4,0,unknown,0,1,0,1,0.0001
94,43,pink-collar,divorced,secondary,1040,552,3,0,unknown,0,1,0,1,0.0001
95,37,white-collar,divorced,tertiary,122,1622,2,0,unknown,0,1,0,1,0.0001
96,30,technician,single,tertiary,880,967,6,0,unknown,0,1,1,1,0.0001
97,41,technician,married,secondary,501,579,5,0,unknown,0,1,0,1,0.0001
98,36,blue-collar,married,secondary,4438,446,1,0,unknown,0,1,0,1,0.0001
99,35,blue-collar,divorced,secondary,0,1205,1,0,unknown,0,1,0,1,0.0001
100,29,pink-collar,single,secondary,271,1882,2,0,unknown,0,1,0,1,0.0001
101,35,blue-collar,married,primary,102,1334,1,0,unknown,0,1,0,1,0.0001
102,31,blue-collar,married,secondary,2,182,2,0,unknown,0,1,0,1,0.0001
103,35,pink-collar,married,secondary,4170,1777,1,0,unknown,0,1,0,1,0.0001
104,34,technician,single,secondary,85,1182,4,0,unknown,0,1,0,1,0.0001
105,31,white-collar,single,secondary,431,1045,1,0,unknown,0,1,1,1,0.0001
106,44,technician,divorced,secondary,982,650,3,0,unknown,0,1,0,1,0.0001
107,36,blue-collar,married,primary,408,1063,2,0,unknown,0,1,1,1,0.0001
108,35,blue-collar,married,unknown,4822,843,2,0,unknown,0,1,0,1,0.0001
109,41,blue-collar,married,primary,1250,1392,2,0,unknown,0,1,0,1,0.0001
110,31,blue-collar,single,primary,216,565,1,0,unknown,0,1,0,1,0.0001
111,34,blue-collar,married,secondary,1207,905,1,0,unknown,0,1,0,1,0.0001
112,32,technician,married,secondary,791,783,2,0,unknown,0,1,0,1,0.0001
113,36,white-collar,married,tertiary,849,958,2,0,unknown,0,1,1,1,0.0001
114,30,blue-collar,single,secondary,239,412,1,0,unknown,1,1,0,1,0.0001
115,37,technician,single,secondary,1211,795,1,0,unknown,0,1,0,1,0.0001
116,36,blue-collar,married,primary,599,649,2,0,unknown,0,1,0,1,0.0001
117,31,white-collar,single,tertiary,825,506,2,0,unknown,0,1,0,1,0.0001
118,27,technician,married,secondary,2183,857,1,0,unknown,0,1,1,1,0.0001
119,34,other,married,primary,4499,1681,1,0,unknown,0,0,0,1,0.0001
120,30,technician,single,tertiary,1289,1697,2,0,unknown,0,1,0,1,0.0001
121,32,technician,single,tertiary,4665,860,2,0,unknown,0,1,0,1,0.0001
122,37,technician,single,secondary,3326,799,1,0,unknown,0,1,0,1,0.0001
123,32,blue-collar,married,secondary,783,923,3,0,unknown,0,1,0,1,0.0001
124,33,blue-collar,married,secondary,0,521,3,0,unknown,0,1,0,1,0.0001
125,35,blue-collar,married,primary,994,1349,8,0,unknown,0,1,0,1,0.0001
126,35,self-employed,divorced,tertiary,1354,736,2,0,unknown,0,1,0,1,0.0001
127,30,blue-collar,single,secondary,239,785,1,0,unknown,0,1,0,1,0.0001
128,45,blue-collar,divorced,primary,-311,1030,1,0,unknown,0,1,0,1,0.0001
129,45,white-collar,married,secondary,149,893,3,0,unknown,0,1,0,1,0.0001
130,33,blue-collar,married,secondary,1464,588,3,0,unknown,0,1,0,1,0.0001
131,44,white-collar,divorced,tertiary,5773,597,6,0,unknown,0,0,0,1,0.0001
132,40,blue-collar,married,primary,278,1015,3,0,unknown,0,1,0,1,0.0001
133,31,blue-collar,married,secondary,2910,1392,2,0,unknown,0,1,0,1,0.0001
134,30,technician,married,tertiary,541,414,2,0,unknown,0,1,0,1,0.0001
135,44,technician,divorced,secondary,1262,788,11,0,unknown,0,1,0,1,0.0001
136,34,pink-collar,married,secondary,-538,682,1,0,unknown,0,1,0,1,0.0001
137,37,blue-collar,married,secondary,125,679,2,0,unknown,0,0,0,1,0.0001
138,28,self-employed,single,tertiary,0,1560,2,0,unknown,0,1,0,1,0.0001
139,32,white-collar,single,secondary,620,1234,3,0,unknown,0,1,0,1,0.0001
140,37,blue-collar,divorced,secondary,316,642,2,0,unknown,0,1,0,1,0.0001
141,34,white-collar,married,tertiary,2287,895,4,0,unknown,0,1,0,1,0.0001
142,38,white-collar,divorced,secondary,198,431,2,0,unknown,0,1,0,1,0.0001
143,28,white-collar,single,secondary,460,741,6,0,unknown,0,1,0,1,0.0001
144,31,white-collar,divorced,tertiary,1145,1272,4,0,unknown,0,1,0,1,0.0001
145,59,pink-collar,married,secondary,-22,748,3,0,unknown,0,1,0,1,0.0001
146,24,blue-collar,married,secondary,685,896,3,0,unknown,0,1,0,1,0.0001
147,26,pink-collar,single,secondary,901,764,2,0,unknown,0,1,0,1,0.0001
148,59,other,single,secondary,351,1063,5,0,unknown,0,1,0,1,0.0001
149,30,entrepreneur,single,primary,0,1051,1,0,unknown,0,1,1,1,0.0001
150,37,white-collar,married,secondary,274,731,3,0,unknown,0,1,0,1,0.0001
151,30,white-collar,single,secondary,-213,751,1,0,unknown,0,1,1,1,0.0001
152,25,blue-collar,married,secondary,97,709,1,0,unknown,0,1,0,1,0.0001
153,44,pink-collar,divorced,secondary,51,3094,2,0,unknown,0,1,1,1,0.0001
154,29,white-collar,married,tertiary,314,938,2,0,unknown,0,0,0,1,0.0001
155,26,white-collar,single,tertiary,6840,1560,2,0,unknown,0,1,0,1,0.0001
156,26,technician,single,secondary,668,576,3,0,unknown,0,1,0,1,0.0001
157,27,pink-collar,single,secondary,54,543,2,0,unknown,0,1,0,1,0.0001
158,25,self-employed,single,secondary,1242,615,2,0,unknown,0,1,0,1,0.0001
159,28,white-collar,married,secondary,292,507,1,0,unknown,0,1,0,1,0.0001
160,23,pink-collar,single,secondary,665,1183,1,0,unknown,0,1,0,1,0.0001
161,34,white-collar,single,tertiary,1058,864,2,0,unknown,0,1,0,1,0.0001
162,28,other,single,secondary,949,1730,1,0,unknown,0,1,0,1,0.0001
163,51,entrepreneur,married,unknown,606,560,9,0,unknown,0,1,0,1,0.0001
164,35,blue-collar,married,secondary,0,543,1,0,unknown,0,1,1,1,0.0001
165,35,white-collar,married,secondary,404,539,1,0,unknown,0,1,0,1,0.0001
166,56,blue-collar,married,secondary,249,791,2,0,unknown,0,1,0,1,0.0001
167,45,other,divorced,secondary,3354,746,1,0,unknown,0,1,0,1,0.0001
168,60,blue-collar,divorced,secondary,0,1207,1,0,unknown,0,1,0,1,0.0001
169,56,technician,married,secondary,589,535,2,0,unknown,0,1,0,1,0.0001
170,27,white-collar,single,tertiary,12956,789,3,0,unknown,0,1,0,1,0.0001
171,30,white-collar,married,secondary,873,792,3,0,unknown,0,1,0,1,0.0001
172,45,blue-collar,divorced,primary,594,833,2,0,unknown,0,1,0,1,0.0001
173,29,blue-collar,single,secondary,-20,814,2,0,unknown,0,1,0,1,0.0001
174,38,white-collar,divorced,tertiary,4692,1363,2,0,unknown,0,1,0,1,0.0001
175,30,blue-collar,married,secondary,486,1109,3,0,unknown,0,1,0,1,0.0001
176,44,blue-collar,single,primary,1593,828,3,0,unknown,0,1,0,1,0.0001
177,36,white-collar,single,tertiary,7606,917,1,0,unknown,0,1,0,1,0.0001
178,38,technician,married,secondary,226,762,3,0,unknown,0,1,0,1,0.0001
179,36,blue-collar,single,secondary,366,1133,2,0,unknown,0,1,1,1,0.0001
180,37,white-collar,divorced,secondary,16,638,1,0,unknown,0,1,0,1,0.0001
181,35,white-collar,single,tertiary,565,763,1,0,unknown,0,1,0,1,0.0001
182,38,white-collar,divorced,secondary,19,604,2,0,unknown,0,1,0,1,0.0001
183,40,pink-collar,married,primary,1082,854,2,0,unknown,0,1,0,1,0.0001
184,42,other,divorced,secondary,1713,855,2,0,unknown,0,1,0,1,0.0001
185,46,white-collar,divorced,tertiary,14481,1269,1,0,unknown,0,1,0,1,0.0001
186,35,technician,divorced,secondary,5724,691,10,0,unknown,0,1,0,1,0.0001
187,34,technician,divorced,secondary,1451,1097,15,0,unknown,0,1,0,1,0.0001
188,32,pink-collar,married,secondary,-34,1236,2,0,unknown,0,1,0,1,0.0001
189,50,other,married,secondary,3674,886,3,0,unknown,0,1,0,1,0.0001
190,35,blue-collar,married,secondary,698,1343,3,0,unknown,0,1,1,1,0.0001
191,36,technician,single,secondary,4136,812,3,0,unknown,0,1,0,1,0.0001
192,53,blue-collar,divorced,primary,2656,1980,2,0,unknown,0,1,0,1,0.0001
193,46,white-collar,single,tertiary,2904,984,2,0,unknown,0,1,0,1,0.0001
194,26,white-collar,single,tertiary,1004,228,2,0,unknown,0,1,0,1,0.0001
195,45,technician,single,secondary,410,891,4,0,unknown,0,1,0,1,0.0001
196,31,other,divorced,primary,0,745,12,0,unknown,0,1,0,1,0.0001
197,29,white-collar,single,tertiary,0,539,12,0,unknown,0,1,0,1,0.0001
198,53,entrepreneur,single,secondary,62,1044,5,0,unknown,0,1,0,1,0.0001
199,27,blue-collar,married,primary,416,1193,2,0,unknown,0,1,0,1,0.0001
200,39,white-collar,married,tertiary,2763,526,2,0,unknown,0,1,0,1,0.0001
201,36,pink-collar,married,secondary,2984,394,1,0,unknown,0,1,0,1,0.0001
202,41,blue-collar,married,primary,143,659,2,0,unknown,0,1,1,1,0.0001
203,36,pink-collar,married,primary,0,1036,1,0,unknown,0,1,0,1,0.0001
204,32,technician,married,secondary,696,815,1,0,unknown,0,1,0,1,0.0001
205,35,pink-collar,married,secondary,152,563,1,0,unknown,0,1,0,1,0.0001
206,36,white-collar,single,tertiary,-78,1068,1,0,unknown,0,1,0,1,0.0001
207,35,white-collar,married,tertiary,867,230,3,0,unknown,0,1,0,1,0.0001
208,30,blue-collar,single,secondary,953,747,2,0,unknown,0,1,0,1,0.0001
209,42,blue-collar,married,secondary,443,671,5,0,unknown,0,1,0,1,0.0001
210,42,technician,single,secondary,-1129,555,5,0,unknown,1,1,0,1,0.0001
211,32,blue-collar,married,primary,415,777,4,0,unknown,0,1,0,1,0.0001
212,29,blue-collar,single,secondary,260,707,14,0,unknown,0,1,0,1,0.0001
213,44,white-collar,divorced,tertiary,-411,432,4,0,unknown,1,1,0,1,0.0001
214,32,technician,single,secondary,1279,1173,3,0,unknown,0,1,0,1,0.0001
215,31,other,married,secondary,86,963,2,0,unknown,0,1,1,1,0.0001
216,40,self-employed,married,secondary,-754,941,3,0,unknown,1,1,1,1,0.0001
217,43,entrepreneur,married,secondary,0,1025,7,0,unknown,0,0,0,1,0.0001
218,27,white-collar,single,secondary,178,732,2,0,unknown,0,1,0,1,0.0001
219,37,pink-collar,single,secondary,278,1045,3,0,unknown,0,1,0,1,0.0001
220,23,pink-collar,single,secondary,425,768,1,0,unknown,0,1,0,1,0.0001
221,25,white-collar,married,primary,168,801,1,0,unknown,0,1,0,1,0.0001
222,26,blue-collar,single,secondary,-36,482,2,0,unknown,1,1,0,1,0.0001
223,47,blue-collar,divorced,primary,126,2456,2,0,unknown,0,1,0,1,0.0001
224,35,white-collar,married,secondary,-87,1363,7,0,unknown,0,1,0,1,0.0001
225,32,technician,single,tertiary,6281,1336,4,0,unknown,0,1,0,1,0.0001
226,45,white-collar,divorced,secondary,644,633,1,0,unknown,0,1,0,1,0.0001
227,30,white-collar,divorced,secondary,377,524,15,0,unknown,0,1,0,1,0.0001
228,29,pink-collar,single,secondary,-271,578,1,0,unknown,0,1,0,1,0.0001
229,38,blue-collar,married,primary,5839,984,2,0,unknown,0,1,0,1,0.0001
230,23,blue-collar,single,secondary,492,638,1,0,unknown,0,1,0,1,0.0001
231,27,white-collar,single,tertiary,99,767,2,0,unknown,0,1,0,1,0.0001
232,27,white-collar,single,tertiary,-713,525,2,0,unknown,1,1,0,1,0.0001
233,29,pink-collar,single,secondary,32,563,1,0,unknown,0,1,0,1,0.0001
234,30,self-employed,married,tertiary,543,1449,6,0,unknown,0,1,1,1,0.0001
235,36,blue-collar,married,primary,403,920,1,0,unknown,0,1,0,1,0.0001
236,35,white-collar,divorced,secondary,437,908,1,0,unknown,0,1,0,1,0.0001
237,36,blue-collar,married,secondary,1772,208,1,0,unknown,0,0,0,1,0.0001
238,59,other,divorced,primary,-88,910,2,0,unknown,0,1,0,1,0.0001
239,47,entrepreneur,married,secondary,0,1446,1,0,unknown,0,0,0,1,0.0001
240,58,entrepreneur,married,tertiary,853,1149,2,0,unknown,0,0,0,1,0.0001
241,37,white-collar,single,tertiary,240,1123,1,0,unknown,0,0,0,1,0.0001
242,46,white-collar,single,secondary,849,508,2,0,unknown,0,1,0,1,0.0001
243,43,blue-collar,single,secondary,318,736,2,0,unknown,0,1,0,1,0.0001
244,27,white-collar,single,tertiary,703,590,3,0,unknown,0,1,0,1,0.0001
245,38,pink-collar,divorced,secondary,61,636,1,0,unknown,0,0,0,1,0.0001
246,53,pink-collar,married,primary,104,701,1,0,unknown,0,0,1,1,0.0001
247,47,blue-collar,married,secondary,1996,761,2,0,unknown,0,0,0,1,0.0001
248,56,pink-collar,divorced,primary,1238,1558,1,0,unknown,1,0,0,1,0.0001
249,41,pink-collar,married,secondary,879,1053,2,0,unknown,0,0,0,1,0.0001
250,29,self-employed,married,secondary,425,562,15,0,unknown,0,1,0,1,0.0001
251,50,technician,married,secondary,416,494,5,0,unknown,0,1,0,1,0.0001
252,45,blue-collar,divorced,primary,844,1018,3,0,unknown,0,0,0,1,0.0001
253,35,blue-collar,married,secondary,860,884,4,0,unknown,0,1,0,1,0.0001
254,26,technician,single,secondary,639,709,5,0,unknown,0,1,0,1,0.0001
255,26,white-collar,married,secondary,710,1276,2,0,unknown,0,1,1,1,0.0001
256,37,blue-collar,married,unknown,1508,381,2,0,unknown,0,0,1,1,0.0001
257,30,white-collar,single,secondary,223,862,11,0,unknown,0,1,0,1,0.0001
258,38,white-collar,single,tertiary,619,460,4,0,unknown,0,1,0,1,0.0001
259,37,pink-collar,divorced,secondary,319,467,3,0,unknown,0,1,0,1,0.0001
260,53,technician,married,secondary,480,648,2,0,unknown,0,0,0,1,0.0001
261,29,blue-collar,single,primary,213,2653,3,0,unknown,0,1,0,1,0.0001
262,35,white-collar,single,tertiary,68,1085,1,0,unknown,0,0,0,1,0.0001
263,28,blue-collar,married,secondary,2788,369,2,0,unknown,0,1,0,1,0.0001
264,55,blue-collar,married,unknown,7561,685,3,0,unknown,0,0,0,1,0.0001
265,49,white-collar,divorced,secondary,-46,1055,10,0,unknown,0,1,0,1,0.0001
266,50,pink-collar,married,secondary,1595,882,1,0,unknown,0,0,0,1,0.0001
267,43,white-collar,single,tertiary,1046,901,1,0,unknown,0,0,0,1,0.0001
268,58,self-employed,divorced,tertiary,1382,700,1,0,unknown,0,0,0,1,0.0001
269,38,technician,married,primary,217,491,6,0,unknown,0,1,0,1,0.0001
270,48,blue-collar,divorced,primary,183,940,1,0,unknown,0,0,0,1,0.0001
271,59,white-collar,married,secondary,1321,3881,3,0,unknown,0,0,0,1,0.0001
272,58,blue-collar,married,secondary,25,486,3,0,unknown,0,0,0,1,0.0001
273,36,self-employed,single,tertiary,4844,1137,3,0,unknown,0,0,0,1,0.0001
274,42,entrepreneur,married,tertiary,5345,878,3,0,unknown,0,0,0,1,0.0001
275,41,white-collar,single,secondary,812,583,4,0,unknown,0,0,1,1,0.0001
276,42,white-collar,married,secondary,105,1159,4,0,unknown,0,0,0,1,0.0001
277,39,white-collar,married,tertiary,-190,893,8,0,unknown,0,0,1,1,0.0001
278,57,pink-collar,married,primary,625,867,1,0,unknown,0,0,1,1,0.0001
279,52,other,married,unknown,293,706,1,0,unknown,0,0,0,1,0.0001
280,59,other,married,unknown,1033,1199,1,0,unknown,0,0,0,1,0.0001
281,56,blue-collar,married,secondary,1210,935,1,0,unknown,0,0,0,1,0.0001
282,49,white-collar,married,tertiary,64,586,1,0,unknown,0,0,0,1,0.0001
283,35,blue-collar,divorced,unknown,164,967,2,0,unknown,0,0,0,1,0.0001
284,36,other,married,secondary,1766,595,2,0,unknown,0,0,0,1,0.0001
285,40,white-collar,single,tertiary,1248,1290,2,0,unknown,0,0,0,1,0.0001
286,55,blue-collar,married,secondary,0,614,2,0,unknown,0,0,0,1,0.0001
287,58,white-collar,married,secondary,826,885,1,0,unknown,0,0,0,1,0.0001
288,39,self-employed,married,tertiary,2630,651,5,0,unknown,0,0,0,1,0.0001
289,47,pink-collar,single,tertiary,3727,993,6,0,unknown,0,0,0,1,0.0001
290,40,white-collar,married,secondary,406,577,2,0,unknown,0,1,0,1,0.0001
291,35,blue-collar,married,tertiary,2999,1141,6,0,unknown,0,0,0,1,0.0001
292,48,blue-collar,married,secondary,1000,1268,2,0,unknown,0,1,0,1,0.0001
293,48,white-collar,divorced,tertiary,503,1243,7,0,unknown,0,0,1,1,0.0001
294,24,blue-collar,single,secondary,-203,465,3,0,unknown,1,1,0,1,0.0001
295,49,blue-collar,married,primary,361,513,2,0,unknown,0,1,0,1,0.0001
296,36,blue-collar,married,secondary,274,686,11,0,unknown,0,1,0,1,0.0001
297,52,other,divorced,tertiary,3687,741,4,0,unknown,0,1,1,1,0.0001
298,42,entrepreneur,single,unknown,323,617,1,0,unknown,0,0,0,1,0.0001
299,36,pink-collar,married,secondary,981,1093,1,0,unknown,0,0,0,1,0.0001
300,36,blue-collar,divorced,secondary,638,1395,2,0,unknown,0,1,0,1,0.0001
301,48,other,single,tertiary,3229,1089,1,0,unknown,0,0,0,1,0.0001
302,51,white-collar,single,secondary,1610,1248,3,0,unknown,0,1,0,1,0.0001
303,51,blue-collar,married,secondary,33,721,3,0,unknown,0,0,1,1,0.0001
304,46,technician,married,secondary,536,750,2,0,unknown,0,1,0,1,0.0001
305,37,white-collar,married,tertiary,0,637,6,0,unknown,0,0,0,1,0.0001
306,36,entrepreneur,married,tertiary,3057,2769,4,0,unknown,0,0,0,1,0.0001
307,47,white-collar,married,secondary,2892,556,1,0,unknown,0,0,0,1,0.0001
308,40,technician,divorced,tertiary,0,522,1,0,unknown,0,0,0,1,0.0001
309,38,other,single,tertiary,3316,1345,3,0,unknown,0,0,0,1,0.0001
310,40,white-collar,married,secondary,106,676,2,0,unknown,0,0,0,1,0.0001
311,39,blue-collar,married,primary,2303,775,3,0,unknown,0,1,0,1,0.0001
312,60,white-collar,married,tertiary,3301,2621,3,0,unknown,0,0,0,1,0.0001
313,39,self-employed,single,tertiary,426,1029,1,0,unknown,0,0,0,1,0.0001
314,51,pink-collar,divorced,secondary,9,371,2,0,unknown,0,0,0,1,0.0001
315,27,white-collar,married,secondary,-97,1528,2,0,unknown,0,1,0,1,0.0001
316,41,white-collar,single,tertiary,11008,1540,1,0,unknown,0,0,0,1,0.0001
317,42,blue-collar,single,primary,4930,973,1,0,unknown,0,0,0,1,0.0001
318,41,entrepreneur,married,secondary,707,707,1,0,unknown,0,0,0,1,0.0001
319,33,technician,married,secondary,4,625,2,0,unknown,0,1,1,1,0.0001
320,46,white-collar,married,secondary,126,1255,1,0,unknown,0,0,0,1,0.0001
321,31,blue-collar,married,secondary,671,704,4,0,unknown,0,1,0,1,0.0001
322,41,blue-collar,married,primary,219,1574,3,0,unknown,0,0,1,1,0.0001
323,41,blue-collar,divorced,secondary,3622,1135,4,0,unknown,0,0,0,1,0.0001
324,55,other,divorced,secondary,1580,1007,1,0,unknown,0,0,1,1,0.0001
325,53,technician,married,secondary,1319,1318,3,0,unknown,0,0,0,1,0.0001
326,55,pink-collar,married,primary,2152,922,2,0,unknown,0,0,0,1,0.0001
327,39,pink-collar,married,secondary,2843,585,1,0,unknown,0,1,0,1,0.0001
328,40,entrepreneur,married,tertiary,0,952,4,0,unknown,1,0,0,1,0.0001
329,59,other,married,primary,1115,834,1,0,unknown,0,0,0,1,0.0001
330,42,blue-collar,single,secondary,625,651,3,0,unknown,0,0,0,1,0.0001
331,41,blue-collar,married,primary,246,683,3,0,unknown,0,0,0,1,0.0001
332,27,blue-collar,married,secondary,61,1012,1,0,unknown,0,1,0,1,0.0001
333,25,blue-collar,single,secondary,-191,958,7,0,unknown,0,1,0,1,0.0001
334,43,other,married,primary,519,973,2,0,unknown,0,0,0,1,0.0001
335,44,pink-collar,married,secondary,522,911,1,0,unknown,0,0,1,1,0.0001
